ProductID,Name,Manufacturer,Pieces,Difficulty,Price,WholesaleCost,Category,ShortDescription,LongDescription
P1021,Atlas Airship,Orbital Labs,275,Hard,$67.99,$33.00,Sci-Fi,"Retro-futuristic airship with propellers, fins, and display-worthy detail.","The Atlas Airship blends steampunk and science-fiction design with layered wooden panels, rotating propellers, and a suspended display frame. It delivers a challenging build and a distinctive silhouette that stands out in any puzzle collection."
P1022,Summit Cable Car,Skyline Structures,170,Easy,$43.99,$20.50,Architecture,Mountain cable car model with clean lines and a scenic display base.,"This charming cable car kit features a compact build, supporting frame, and a scenic station base inspired by alpine travel. Its approachable assembly makes it a great entry point while still producing a polished display piece."
P1023,Runekeeper Treasure Chest,ArcaneWorks,205,Medium,$50.99,$24.50,Fantasy,Locking treasure chest puzzle with engraved panels and hidden storage.,"Built around a secret-opening mechanism, this fantasy chest combines decorative rune engravings with functional storage space. It offers a satisfying mix of puzzle-solving, assembly, and finished display appeal."
P1024,Midnight Planetarium,LumaScenes,195,Medium,$56.99,$27.50,Decorative,Tabletop planetarium with star cutouts and a soft internal glow effect.,"Designed as a decorative astronomy-inspired model, the Midnight Planetarium uses layered wooden shells and light openings to create a warm celestial display. It works especially well as ambient decor on a desk, shelf, or nightstand."
P1025,Coastal Lighthouse,TimberTech Models,185,Medium,$47.99,$22.50,Nautical,Classic lighthouse display with spiral structure and seaside character.,"This lighthouse model captures the charm of coastal architecture with a tiered tower, window detailing, and a textured base. The finished build makes a clean nautical accent while offering a balanced mid-level assembly challenge."
P1026,Siege Ram Cart,Ironwood Creations,245,Medium,$53.99,$26.00,Historical,Rolling siege ram cart with armored frame and medieval battlefield style.,"Inspired by historic siege equipment, this model features a wheeled chassis, reinforced body panels, and a suspended battering ram. The finished piece delivers both motion-focused detail and a strong medieval visual theme."
P1027,Polar Research Submarine,Orbital Labs,310,Hard,$68.99,$33.50,Sci-Fi,"Exploration submarine model with fins, propeller, and layered hull design.","The Polar Research Submarine presents a deep-sea exploration theme with a segmented hull, stabilizing fins, and mechanical propeller details. It is designed for builders who enjoy complex shapes and a more technical final display."
P1028,Valewood Carousel,LumaScenes,250,Medium,$58.99,$28.50,Decorative,Decorative carousel with rotating platform and ornate festival styling.,"This carousel kit combines graceful structure with motion, using a geared base to rotate the central platform after assembly. Its layered roof, carved details, and whimsical presentation make it one of the most display-friendly models in the catalog."
P1029,Longbow Ballista Tower,ArcaneWorks,270,Hard,$61.99,$30.00,Fantasy,Fantasy defense tower with ballista platform and fortified woodwork.,"Featuring a raised firing platform, defensive railings, and castle-inspired construction, this kit expands the fantasy lineup with a more architectural build. It offers a detailed silhouette and a strong sense of world-building once completed."
P1030,Heritage Tram,NordicCraft,215,Medium,$52.49,$25.00,Historical,Vintage tramcar model with window detail and classic city transit style.,"The Heritage Tram brings old-world street transit to life with a carefully shaped carriage body, detailed window framing, and a nostalgic urban design. It provides a satisfying medium-difficulty build and a distinctive finished profile."
